,open_USD,high_USD,low_USD,close_USD,volume
2020-11-29,17719.84,18360.05,17517.0,18184.99,55329
2020-11-28,17139.53,17880.49,16865.56,17719.85,64910
2020-11-27,17149.47,17457.62,16438.08,17139.52,85297
2020-11-26,18718.83,18915.03,16188.0,17149.47,181005
2020-11-25,19160.0,19484.21,18500.27,18719.11,93266
2020-11-24,18368.01,19418.97,18018.0,19160.01,113581
2020-11-23,18413.88,18766.0,18000.0,18368.0,82961
2020-11-22,18703.8,18750.0,17610.86,18414.43,81645
2020-11-21,18655.66,18965.9,18308.58,18703.8,75577
2020-11-20,17802.81,18815.22,17740.04,18655.67,88423
2020-11-19,17777.75,18179.8,17335.65,17802.82,93009
2020-11-18,17659.38,18476.93,17214.45,17776.12,149019
2020-11-17,16713.08,17858.82,16538.0,17659.38,115221
2020-11-16,15957.0,16880.0,15864.0,16713.57,81300
2020-11-15,16069.56,16180.0,15774.72,15957.0,43596
2020-11-14,16320.04,16326.99,15670.0,16070.45,59116
2020-11-13,16291.85,16480.0,15952.35,16320.7,75691
2020-11-12,15684.25,16340.7,15440.64,16291.86,102196
2020-11-11,15297.21,15965.0,15272.68,15684.24,78469
2020-11-10,15328.41,15460.0,15072.46,15297.21,61681
2020-11-09,15475.1,15840.0,14805.54,15328.41,108976
2020-11-08,14818.3,15650.0,14703.88,15475.1,65547
2020-11-07,15579.93,15753.52,14344.22,14818.3,101431
2020-11-06,15590.02,15960.0,15166.0,15579.92,122618
2020-11-05,14144.01,15750.0,14093.56,15590.02,143741
2020-11-04,14023.53,14259.0,13525.0,14144.01,93016
2020-11-03,13549.63,14066.11,13284.99,14023.53,74115
2020-11-02,13761.49,13830.0,13195.05,13549.37,64566
2020-11-01,13791.0,13895.0,13603.0,13761.5,36285
2020-10-31,13560.1,14100.0,13411.5,13791.0,67339
2020-10-30,13455.69,13669.98,13115.0,13560.1,70657
2020-10-29,13266.4,13642.91,12920.77,13455.7,74872
2020-10-28,13636.16,13859.48,12888.0,13266.4,94440
2020-10-27,13052.15,13789.29,13019.87,13636.17,80796
2020-10-26,13029.64,13238.81,12765.0,13052.19,60951
2020-10-25,13111.73,13350.0,12888.0,13028.83,38481
2020-10-24,12923.06,13166.73,12870.0,13111.73,35952
2020-10-23,12968.84,13027.69,12720.08,12923.07,50386
2020-10-22,12780.75,13185.0,12678.08,12968.52,70038
2020-10-21,11910.0,13217.68,11886.95,12780.96,114584
2020-10-20,11751.46,12038.38,11677.59,11909.99,62134
2020-10-19,11503.14,11823.99,11407.96,11751.47,47414
2020-10-18,11360.31,11505.0,11346.22,11503.14,23284
2020-10-17,11319.24,11402.42,11255.0,11360.2,22368
2020-10-16,11505.13,11541.15,11200.0,11319.32,48797
2020-10-15,11417.89,11617.34,11250.83,11505.12,48760
2020-10-14,11420.57,11547.98,11280.0,11417.89,41415
2020-10-13,11528.24,11557.0,11300.0,11420.56,42205
2020-10-12,11369.02,11720.01,11172.0,11528.25,52825
