Valor,Fecha
25150.333333333332,2017-01-08T09:00:00Z
27732.333333333332,2017-01-08T10:00:00Z
28725,2017-01-08T11:00:00Z
28762.666666666668,2017-01-08T12:00:00Z
28869.5,2017-01-08T13:00:00Z
29156,2017-01-08T14:00:00Z
28136.5,2017-01-08T15:00:00Z
27378,2017-01-08T16:00:00Z
27469.666666666668,2017-01-08T17:00:00Z
30238,2017-01-08T18:00:00Z
32257.333333333332,2017-01-08T19:00:00Z
33703.166666666664,2017-01-08T20:00:00Z
33882.666666666664,2017-01-08T21:00:00Z
32343.333333333332,2017-01-08T22:00:00Z
29492.333333333332,2017-01-08T23:00:00Z
26499.833333333332,2017-01-09T00:00:00Z
24298.333333333332,2017-01-09T01:00:00Z
23106.333333333332,2017-01-09T02:00:00Z
22610.333333333332,2017-01-09T03:00:00Z
22578,2017-01-09T04:00:00Z
23106.666666666668,2017-01-09T05:00:00Z
25902.333333333332,2017-01-09T06:00:00Z
31189.666666666668,2017-01-09T07:00:00Z
35422.166666666664,2017-01-09T08:00:00Z
36832.166666666664,2017-01-09T09:00:00Z
37491.833333333336,2017-01-09T10:00:00Z
37178.5,2017-01-09T11:00:00Z
36582.666666666664,2017-01-09T12:00:00Z
36320,2017-01-09T13:00:00Z
35143.166666666664,2017-01-09T14:00:00Z
34610.166666666664,2017-01-09T15:00:00Z
34425.333333333336,2017-01-09T16:00:00Z
34808,2017-01-09T17:00:00Z
37061.666666666664,2017-01-09T18:00:00Z
38364.5,2017-01-09T19:00:00Z
38566.166666666664,2017-01-09T20:00:00Z
38170,2017-01-09T21:00:00Z
35225.333333333336,2017-01-09T22:00:00Z
31622,2017-01-09T23:00:00Z
28951.333333333332,2017-01-10T00:00:00Z
26558.666666666668,2017-01-10T01:00:00Z
25097,2017-01-10T02:00:00Z
24381.5,2017-01-10T03:00:00Z
24237.833333333332,2017-01-10T04:00:00Z
24831.166666666668,2017-01-10T05:00:00Z
27404.5,2017-01-10T06:00:00Z
32294,2017-01-10T07:00:00Z
36112.166666666664,2017-01-10T08:00:00Z
37278,2017-01-10T09:00:00Z
38090.833333333336,2017-01-10T10:00:00Z
38156,2017-01-10T11:00:00Z
37776,2017-01-10T12:00:00Z
37540.666666666664,2017-01-10T13:00:00Z
36364.666666666664,2017-01-10T14:00:00Z
35741.333333333336,2017-01-10T15:00:00Z
35586.166666666664,2017-01-10T16:00:00Z
36016,2017-01-10T17:00:00Z
37760.333333333336,2017-01-10T18:00:00Z
38785.666666666664,2017-01-10T19:00:00Z
38926.166666666664,2017-01-10T20:00:00Z
38052.5,2017-01-10T21:00:00Z
35189.333333333336,2017-01-10T22:00:00Z
31739.666666666668,2017-01-10T23:00:00Z
28700.833333333332,2017-01-11T00:00:00Z
26434.666666666668,2017-01-11T01:00:00Z
24920.666666666668,2017-01-11T02:00:00Z
24452.333333333332,2017-01-11T03:00:00Z
24196.166666666668,2017-01-11T04:00:00Z
24861,2017-01-11T05:00:00Z
27247.333333333332,2017-01-11T06:00:00Z
32093.666666666668,2017-01-11T07:00:00Z
35642.833333333336,2017-01-11T08:00:00Z
36390,2017-01-11T09:00:00Z
36856.833333333336,2017-01-11T10:00:00Z
36544.5,2017-01-11T11:00:00Z
35845.833333333336,2017-01-11T12:00:00Z
35627.833333333336,2017-01-11T13:00:00Z
34443.166666666664,2017-01-11T14:00:00Z
33818.833333333336,2017-01-11T15:00:00Z
33644.166666666664,2017-01-11T16:00:00Z
34220.5,2017-01-11T17:00:00Z
36039.666666666664,2017-01-11T18:00:00Z
37583.833333333336,2017-01-11T19:00:00Z
37921.333333333336,2017-01-11T20:00:00Z
37437.5,2017-01-11T21:00:00Z
34736,2017-01-11T22:00:00Z
31374.833333333332,2017-01-11T23:00:00Z
28525,2017-01-12T00:00:00Z
26312.833333333332,2017-01-12T01:00:00Z
24868,2017-01-12T02:00:00Z
24266,2017-01-12T03:00:00Z
24179.166666666668,2017-01-12T04:00:00Z
24763.333333333332,2017-01-12T05:00:00Z
26950.833333333332,2017-01-12T06:00:00Z
31812.166666666668,2017-01-12T07:00:00Z
35276,2017-01-12T08:00:00Z
36097,2017-01-12T09:00:00Z
36329.333333333336,2017-01-12T10:00:00Z
35848.166666666664,2017-01-12T11:00:00Z
35312.666666666664,2017-01-12T12:00:00Z
35031.333333333336,2017-01-12T13:00:00Z
33856,2017-01-12T14:00:00Z
33336.166666666664,2017-01-12T15:00:00Z
33255,2017-01-12T16:00:00Z
33736.166666666664,2017-01-12T17:00:00Z
35716.833333333336,2017-01-12T18:00:00Z
36996.333333333336,2017-01-12T19:00:00Z
37160.333333333336,2017-01-12T20:00:00Z
36517.5,2017-01-12T21:00:00Z
33898.833333333336,2017-01-12T22:00:00Z
